feature,importance,feature_type,days_back
Soc_h10_day_minus2,0.0012150004,Soc,2
dSocdt_h21_day_minus6,0.0012121381,dSocdt,6
dSocdt_h7_day_minus4,0.001181694,dSocdt,4
dSocdt_h10_day_minus6,0.0011471744,dSocdt,6
dSocdt_h11_day_minus5,0.0011435491,dSocdt,5
dSocdt_h8_day_minus6,0.0011274373,dSocdt,6
Soc_h16_day_minus3,0.0011170265,Soc,3
dSocdt_h10_day_minus7,0.0011130659,dSocdt,7
dSocdt_h18_day_minus5,0.001100483,dSocdt,5
Soc_h14_day_minus1,0.0010857828,Soc,1
dSocdt_h10_day_minus4,0.0010638476,dSocdt,4
day_day_minus4,0.0010539532,Date,4
Soc_h22_day_minus2,0.001031679,Soc,2
dSocdt_h5_day_minus3,0.0010289783,dSocdt,3
dSocdt_h19_day_minus7,0.0010124132,dSocdt,7
dSocdt_h16_day_minus3,0.0010036718,dSocdt,3
dSocdt_h21_day_minus5,0.00097154937,dSocdt,5
Soc_h4_day_minus1,0.0009665122,Soc,1
Soc_h22_day_minus5,0.0009103916,Soc,5
Soc_h7_day_minus1,0.0008947099,Soc,1
dSocdt_h8_day_minus5,0.00088488724,dSocdt,5
dSocdt_h0_day_minus5,0.0008636601,dSocdt,5
dSocdt_h2_day_minus3,0.0008200896,dSocdt,3
dSocdt_h14_day_minus7,0.00080120703,dSocdt,7
dSocdt_h16_day_minus7,0.0007836149,dSocdt,7
dSocdt_h20_day_minus3,0.00071564835,dSocdt,3
dSocdt_h17_day_minus5,0.00067395746,dSocdt,5
dSocdt_h3_day_minus3,0.0006146987,dSocdt,3
dSocdt_h20_day_minus5,0.0006039994,dSocdt,5
dSocdt_h13_day_minus7,0.00052957615,dSocdt,7
Soc_h14_day_minus12,0.0,Soc,12
Soc_h15_day_minus12,0.0,Soc,12
Soc_h16_day_minus12,0.0,Soc,12
Soc_h17_day_minus12,0.0,Soc,12
Soc_h18_day_minus12,0.0,Soc,12
Soc_h19_day_minus12,0.0,Soc,12
Soc_h20_day_minus12,0.0,Soc,12
Soc_h21_day_minus12,0.0,Soc,12
Soc_h22_day_minus12,0.0,Soc,12
Soc_h23_day_minus12,0.0,Soc,12
dayofweek_day_minus12,0.0,Date,12
day_day_minus12,0.0,Date,12
month_day_minus12,0.0,Date,12
year_day_minus12,0.0,Date,12
dSocdt_h0_day_minus11,0.0,dSocdt,11
dSocdt_h1_day_minus11,0.0,dSocdt,11
dSocdt_h2_day_minus11,0.0,dSocdt,11
dSocdt_h3_day_minus11,0.0,dSocdt,11
dSocdt_h4_day_minus11,0.0,dSocdt,11
dSocdt_h5_day_minus11,0.0,dSocdt,11
