hour,feature,mean_abs_shap,feature_type,days_back
0,dSocdt_h14_day_minus12,0.0,dSocdt,12
0,dSocdt_h15_day_minus12,0.0,dSocdt,12
0,dSocdt_h16_day_minus12,0.0,dSocdt,12
0,dSocdt_h17_day_minus12,0.0,dSocdt,12
0,dSocdt_h18_day_minus12,0.0,dSocdt,12
0,dSocdt_h19_day_minus12,0.0,dSocdt,12
0,dSocdt_h20_day_minus12,0.0,dSocdt,12
0,dSocdt_h21_day_minus12,0.0,dSocdt,12
0,dSocdt_h22_day_minus12,0.0,dSocdt,12
0,dSocdt_h23_day_minus12,0.0,dSocdt,12
0,Soc_h0_day_minus12,0.0,Soc,12
0,Soc_h1_day_minus12,0.0,Soc,12
0,Soc_h2_day_minus12,0.0,Soc,12
0,Soc_h3_day_minus12,0.0,Soc,12
0,Soc_h4_day_minus12,0.0,Soc,12
0,Soc_h5_day_minus12,0.0,Soc,12
0,Soc_h6_day_minus12,0.0,Soc,12
0,Soc_h7_day_minus12,0.0,Soc,12
0,Soc_h8_day_minus12,0.0,Soc,12
0,Soc_h9_day_minus12,0.0,Soc,12
0,Soc_h10_day_minus12,0.0,Soc,12
0,Soc_h11_day_minus12,0.0,Soc,12
0,Soc_h12_day_minus12,0.0,Soc,12
0,Soc_h13_day_minus12,0.0,Soc,12
0,Soc_h14_day_minus12,0.0,Soc,12
0,Soc_h15_day_minus12,0.0,Soc,12
0,Soc_h16_day_minus12,0.0,Soc,12
0,Soc_h17_day_minus12,0.0,Soc,12
0,Soc_h18_day_minus12,0.0,Soc,12
0,Soc_h19_day_minus12,0.0,Soc,12
0,Soc_h20_day_minus12,0.0,Soc,12
0,Soc_h21_day_minus12,0.0,Soc,12
0,Soc_h22_day_minus12,0.0,Soc,12
0,Soc_h23_day_minus12,0.0,Soc,12
0,dayofweek_day_minus12,0.0,Date,12
0,day_day_minus12,0.0,Date,12
0,month_day_minus12,0.0,Date,12
0,year_day_minus12,0.0,Date,12
0,dSocdt_h0_day_minus11,0.0,dSocdt,11
0,dSocdt_h1_day_minus11,0.0,dSocdt,11
0,dSocdt_h2_day_minus11,0.0,dSocdt,11
0,dSocdt_h3_day_minus11,0.0,dSocdt,11
0,dSocdt_h4_day_minus11,0.0,dSocdt,11
0,dSocdt_h5_day_minus11,0.0,dSocdt,11
0,dSocdt_h6_day_minus11,0.0,dSocdt,11
0,dSocdt_h7_day_minus11,0.0,dSocdt,11
0,dSocdt_h8_day_minus11,0.0,dSocdt,11
0,dSocdt_h9_day_minus11,0.0,dSocdt,11
0,dSocdt_h10_day_minus11,0.0,dSocdt,11
0,dSocdt_h11_day_minus11,0.0,dSocdt,11
0,dSocdt_h12_day_minus11,0.0,dSocdt,11
0,dSocdt_h13_day_minus11,0.0,dSocdt,11
0,dSocdt_h14_day_minus11,0.0,dSocdt,11
0,dSocdt_h15_day_minus11,0.0,dSocdt,11
0,dSocdt_h16_day_minus11,0.0,dSocdt,11
0,dSocdt_h17_day_minus11,0.0,dSocdt,11
0,dSocdt_h18_day_minus11,0.0,dSocdt,11
0,dSocdt_h19_day_minus11,0.0,dSocdt,11
0,dSocdt_h20_day_minus11,0.0,dSocdt,11
0,dSocdt_h21_day_minus11,0.0,dSocdt,11
0,dSocdt_h22_day_minus11,0.0,dSocdt,11
0,dSocdt_h23_day_minus11,0.0,dSocdt,11
0,Soc_h0_day_minus11,0.0,Soc,11
0,Soc_h1_day_minus11,0.0,Soc,11
0,Soc_h2_day_minus11,0.0,Soc,11
0,Soc_h3_day_minus11,0.0,Soc,11
0,Soc_h4_day_minus11,0.0,Soc,11
0,Soc_h5_day_minus11,0.0,Soc,11
0,Soc_h6_day_minus11,0.0,Soc,11
0,Soc_h7_day_minus11,0.0,Soc,11
0,Soc_h8_day_minus11,0.0,Soc,11
0,Soc_h9_day_minus11,0.0,Soc,11
0,Soc_h10_day_minus11,0.0,Soc,11
0,Soc_h11_day_minus11,0.0,Soc,11
0,Soc_h12_day_minus11,0.0,Soc,11
0,Soc_h13_day_minus11,0.0,Soc,11
0,Soc_h14_day_minus11,0.0,Soc,11
0,Soc_h15_day_minus11,0.0,Soc,11
0,Soc_h16_day_minus11,0.0,Soc,11
0,Soc_h17_day_minus11,0.0,Soc,11
0,Soc_h18_day_minus11,0.0,Soc,11
0,Soc_h19_day_minus11,0.0,Soc,11
0,Soc_h20_day_minus11,0.0,Soc,11
0,Soc_h21_day_minus11,0.0,Soc,11
0,Soc_h22_day_minus11,0.0,Soc,11
0,Soc_h23_day_minus11,0.0,Soc,11
0,dayofweek_day_minus11,0.0,Date,11
0,day_day_minus11,0.0,Date,11
0,month_day_minus11,0.0,Date,11
0,year_day_minus11,0.0,Date,11
0,dSocdt_h0_day_minus10,0.0,dSocdt,10
0,dSocdt_h1_day_minus10,0.0,dSocdt,10
0,dSocdt_h2_day_minus10,0.0,dSocdt,10
0,dSocdt_h3_day_minus10,0.0,dSocdt,10
0,dSocdt_h4_day_minus10,0.0,dSocdt,10
0,dSocdt_h5_day_minus10,0.0,dSocdt,10
0,dSocdt_h6_day_minus10,0.0,dSocdt,10
0,dSocdt_h7_day_minus10,0.0,dSocdt,10
0,dSocdt_h8_day_minus10,0.0,dSocdt,10
0,dSocdt_h9_day_minus10,0.0,dSocdt,10
0,dSocdt_h10_day_minus10,0.0,dSocdt,10
0,dSocdt_h11_day_minus10,0.0,dSocdt,10
0,dSocdt_h12_day_minus10,0.0,dSocdt,10
0,dSocdt_h13_day_minus10,0.0,dSocdt,10
0,dSocdt_h14_day_minus10,0.0,dSocdt,10
0,dSocdt_h15_day_minus10,0.0,dSocdt,10
0,dSocdt_h16_day_minus10,0.0,dSocdt,10
0,dSocdt_h17_day_minus10,0.0,dSocdt,10
0,dSocdt_h18_day_minus10,0.0,dSocdt,10
0,dSocdt_h19_day_minus10,0.0,dSocdt,10
0,dSocdt_h20_day_minus10,0.0,dSocdt,10
0,dSocdt_h21_day_minus10,0.0,dSocdt,10
0,dSocdt_h22_day_minus10,0.0,dSocdt,10
0,dSocdt_h23_day_minus10,0.0,dSocdt,10
0,Soc_h0_day_minus10,0.0,Soc,10
0,Soc_h1_day_minus10,0.0,Soc,10
0,Soc_h2_day_minus10,0.0,Soc,10
0,Soc_h3_day_minus10,0.0,Soc,10
0,Soc_h4_day_minus10,0.0,Soc,10
0,Soc_h5_day_minus10,0.0,Soc,10
0,Soc_h6_day_minus10,0.0,Soc,10
0,Soc_h7_day_minus10,0.0,Soc,10
0,Soc_h8_day_minus10,0.0,Soc,10
0,Soc_h9_day_minus10,0.0,Soc,10
0,Soc_h10_day_minus10,0.0,Soc,10
0,Soc_h11_day_minus10,0.0,Soc,10
0,Soc_h12_day_minus10,0.0,Soc,10
0,Soc_h13_day_minus10,0.0,Soc,10
0,Soc_h14_day_minus10,0.0,Soc,10
0,Soc_h15_day_minus10,0.0,Soc,10
0,Soc_h16_day_minus10,0.0,Soc,10
0,Soc_h17_day_minus10,0.0,Soc,10
0,Soc_h18_day_minus10,0.0,Soc,10
0,Soc_h19_day_minus10,0.0,Soc,10
0,Soc_h20_day_minus10,0.0,Soc,10
0,Soc_h21_day_minus10,0.0,Soc,10
0,Soc_h22_day_minus10,0.0,Soc,10
0,Soc_h23_day_minus10,0.0,Soc,10
0,dayofweek_day_minus10,0.0,Date,10
0,day_day_minus10,0.0,Date,10
0,month_day_minus10,0.0,Date,10
0,year_day_minus10,0.0,Date,10
0,dSocdt_h0_day_minus9,0.0,dSocdt,9
0,dSocdt_h1_day_minus9,0.0,dSocdt,9
0,dSocdt_h2_day_minus9,0.0,dSocdt,9
0,dSocdt_h3_day_minus9,0.0,dSocdt,9
0,dSocdt_h4_day_minus9,0.0,dSocdt,9
0,dSocdt_h5_day_minus9,0.0,dSocdt,9
0,dSocdt_h6_day_minus9,0.0,dSocdt,9
0,dSocdt_h7_day_minus9,0.0,dSocdt,9
0,dSocdt_h8_day_minus9,0.0,dSocdt,9
0,dSocdt_h9_day_minus9,0.0,dSocdt,9
0,dSocdt_h10_day_minus9,0.0,dSocdt,9
0,dSocdt_h11_day_minus9,0.0,dSocdt,9
0,dSocdt_h12_day_minus9,0.0,dSocdt,9
0,dSocdt_h13_day_minus9,0.0,dSocdt,9
0,dSocdt_h14_day_minus9,0.0,dSocdt,9
0,dSocdt_h15_day_minus9,0.0,dSocdt,9
0,dSocdt_h16_day_minus9,0.0,dSocdt,9
0,dSocdt_h17_day_minus9,0.0,dSocdt,9
0,dSocdt_h18_day_minus9,0.0,dSocdt,9
0,dSocdt_h19_day_minus9,0.0,dSocdt,9
0,dSocdt_h20_day_minus9,0.0,dSocdt,9
0,dSocdt_h21_day_minus9,0.0,dSocdt,9
0,dSocdt_h22_day_minus9,0.0,dSocdt,9
0,dSocdt_h23_day_minus9,0.0,dSocdt,9
0,Soc_h0_day_minus9,0.0,Soc,9
0,Soc_h1_day_minus9,0.0,Soc,9
0,Soc_h2_day_minus9,0.0,Soc,9
0,Soc_h3_day_minus9,0.0,Soc,9
0,Soc_h4_day_minus9,0.0,Soc,9
0,Soc_h5_day_minus9,0.0,Soc,9
0,Soc_h6_day_minus9,0.0,Soc,9
0,Soc_h7_day_minus9,0.0,Soc,9
0,Soc_h8_day_minus9,0.0,Soc,9
0,Soc_h9_day_minus9,0.0,Soc,9
0,Soc_h10_day_minus9,0.0,Soc,9
0,Soc_h11_day_minus9,0.0,Soc,9
0,Soc_h12_day_minus9,0.0,Soc,9
0,Soc_h13_day_minus9,0.0,Soc,9
0,Soc_h14_day_minus9,0.0,Soc,9
0,Soc_h15_day_minus9,0.0,Soc,9
0,Soc_h16_day_minus9,0.0,Soc,9
0,Soc_h17_day_minus9,0.0,Soc,9
0,Soc_h18_day_minus9,0.0,Soc,9
0,Soc_h19_day_minus9,0.0,Soc,9
0,Soc_h20_day_minus9,0.0,Soc,9
0,Soc_h21_day_minus9,0.0,Soc,9
0,Soc_h22_day_minus9,0.0,Soc,9
0,Soc_h23_day_minus9,0.0,Soc,9
0,dayofweek_day_minus9,0.0,Date,9
0,day_day_minus9,0.0,Date,9
0,month_day_minus9,0.0,Date,9
0,year_day_minus9,0.0,Date,9
0,dSocdt_h0_day_minus8,0.0,dSocdt,8
0,dSocdt_h1_day_minus8,0.0,dSocdt,8
0,dSocdt_h2_day_minus8,0.0,dSocdt,8
0,dSocdt_h3_day_minus8,0.0,dSocdt,8
0,dSocdt_h4_day_minus8,0.0,dSocdt,8
0,dSocdt_h5_day_minus8,0.0,dSocdt,8
0,dSocdt_h6_day_minus8,0.0,dSocdt,8
0,dSocdt_h7_day_minus8,0.0,dSocdt,8
0,dSocdt_h8_day_minus8,0.0,dSocdt,8
0,dSocdt_h9_day_minus8,0.0,dSocdt,8
0,dSocdt_h10_day_minus8,0.0,dSocdt,8
0,dSocdt_h11_day_minus8,0.0,dSocdt,8
0,dSocdt_h12_day_minus8,0.0,dSocdt,8
0,dSocdt_h13_day_minus8,0.0,dSocdt,8
0,dSocdt_h14_day_minus8,0.0,dSocdt,8
0,dSocdt_h15_day_minus8,0.0,dSocdt,8
0,dSocdt_h16_day_minus8,0.0,dSocdt,8
0,dSocdt_h17_day_minus8,0.0,dSocdt,8
0,dSocdt_h18_day_minus8,0.0,dSocdt,8
0,dSocdt_h19_day_minus8,0.0,dSocdt,8
0,dSocdt_h20_day_minus8,0.0,dSocdt,8
0,dSocdt_h21_day_minus8,0.0,dSocdt,8
0,dSocdt_h22_day_minus8,0.0,dSocdt,8
0,dSocdt_h23_day_minus8,0.0,dSocdt,8
0,Soc_h0_day_minus8,0.0,Soc,8
0,Soc_h1_day_minus8,0.0,Soc,8
0,Soc_h2_day_minus8,0.0,Soc,8
0,Soc_h3_day_minus8,0.0,Soc,8
0,Soc_h4_day_minus8,0.0,Soc,8
0,Soc_h5_day_minus8,0.0,Soc,8
0,Soc_h6_day_minus8,0.0,Soc,8
0,Soc_h7_day_minus8,0.0,Soc,8
0,Soc_h8_day_minus8,0.0,Soc,8
0,Soc_h9_day_minus8,0.0,Soc,8
0,Soc_h10_day_minus8,0.0,Soc,8
0,Soc_h11_day_minus8,0.0,Soc,8
0,Soc_h12_day_minus8,0.0,Soc,8
0,Soc_h13_day_minus8,0.0,Soc,8
0,Soc_h14_day_minus8,0.0,Soc,8
0,Soc_h15_day_minus8,0.0,Soc,8
0,Soc_h16_day_minus8,0.0,Soc,8
0,Soc_h17_day_minus8,0.0,Soc,8
0,Soc_h18_day_minus8,0.0,Soc,8
0,Soc_h19_day_minus8,0.0,Soc,8
0,Soc_h20_day_minus8,0.0,Soc,8
0,Soc_h21_day_minus8,0.0,Soc,8
0,Soc_h22_day_minus8,0.0,Soc,8
0,Soc_h23_day_minus8,0.0,Soc,8
0,dayofweek_day_minus8,0.0,Date,8
0,day_day_minus8,0.0,Date,8
0,month_day_minus8,0.0,Date,8
0,year_day_minus8,0.0,Date,8
0,dSocdt_h0_day_minus7,0.0,dSocdt,7
0,dSocdt_h1_day_minus7,0.0,dSocdt,7
0,dSocdt_h2_day_minus7,0.0,dSocdt,7
0,dSocdt_h3_day_minus7,0.0,dSocdt,7
0,dSocdt_h4_day_minus7,0.0,dSocdt,7
0,dSocdt_h5_day_minus7,0.0,dSocdt,7
0,dSocdt_h6_day_minus7,0.0,dSocdt,7
0,dSocdt_h7_day_minus7,0.0,dSocdt,7
0,dSocdt_h8_day_minus7,0.0,dSocdt,7
0,dSocdt_h9_day_minus7,0.0,dSocdt,7
0,dSocdt_h10_day_minus7,0.0,dSocdt,7
0,dSocdt_h11_day_minus7,0.0,dSocdt,7
0,dSocdt_h12_day_minus7,0.0,dSocdt,7
0,dSocdt_h13_day_minus7,0.0,dSocdt,7
0,dSocdt_h14_day_minus7,0.0,dSocdt,7
0,dSocdt_h15_day_minus7,0.0,dSocdt,7
0,dSocdt_h16_day_minus7,0.0,dSocdt,7
0,dSocdt_h17_day_minus7,0.0,dSocdt,7
0,dSocdt_h18_day_minus7,0.0,dSocdt,7
0,dSocdt_h19_day_minus7,0.0,dSocdt,7
0,dSocdt_h20_day_minus7,0.0,dSocdt,7
0,dSocdt_h21_day_minus7,0.0,dSocdt,7
0,dSocdt_h22_day_minus7,0.0,dSocdt,7
0,dSocdt_h23_day_minus7,0.0,dSocdt,7
0,Soc_h0_day_minus7,0.0,Soc,7
0,Soc_h1_day_minus7,0.0,Soc,7
0,Soc_h2_day_minus7,0.0,Soc,7
0,Soc_h3_day_minus7,0.0,Soc,7
0,Soc_h4_day_minus7,0.0,Soc,7
0,Soc_h5_day_minus7,0.0,Soc,7
0,Soc_h6_day_minus7,0.0,Soc,7
0,Soc_h7_day_minus7,0.0,Soc,7
0,Soc_h8_day_minus7,0.0,Soc,7
0,Soc_h9_day_minus7,0.0,Soc,7
0,Soc_h10_day_minus7,0.0,Soc,7
0,Soc_h11_day_minus7,0.0,Soc,7
0,Soc_h12_day_minus7,0.0,Soc,7
0,Soc_h13_day_minus7,0.0,Soc,7
0,Soc_h14_day_minus7,0.0,Soc,7
0,Soc_h15_day_minus7,0.0,Soc,7
0,Soc_h16_day_minus7,0.0,Soc,7
0,Soc_h17_day_minus7,0.0,Soc,7
0,Soc_h18_day_minus7,0.0,Soc,7
0,Soc_h19_day_minus7,0.0,Soc,7
0,Soc_h20_day_minus7,0.0,Soc,7
0,Soc_h21_day_minus7,0.0,Soc,7
0,Soc_h22_day_minus7,0.0,Soc,7
0,Soc_h23_day_minus7,0.0,Soc,7
0,dayofweek_day_minus7,0.0,Date,7
0,day_day_minus7,0.0,Date,7
0,month_day_minus7,0.0,Date,7
0,year_day_minus7,0.0,Date,7
0,dSocdt_h0_day_minus6,0.0,dSocdt,6
0,dSocdt_h1_day_minus6,0.0,dSocdt,6
0,dSocdt_h2_day_minus6,0.0,dSocdt,6
0,dSocdt_h3_day_minus6,0.0,dSocdt,6
0,dSocdt_h4_day_minus6,0.0,dSocdt,6
0,dSocdt_h5_day_minus6,0.0,dSocdt,6
0,dSocdt_h6_day_minus6,0.0,dSocdt,6
0,dSocdt_h7_day_minus6,0.0,dSocdt,6
0,dSocdt_h8_day_minus6,0.0,dSocdt,6
0,dSocdt_h9_day_minus6,0.0,dSocdt,6
0,dSocdt_h10_day_minus6,0.0,dSocdt,6
0,dSocdt_h11_day_minus6,0.0,dSocdt,6
0,dSocdt_h12_day_minus6,0.0,dSocdt,6
0,dSocdt_h13_day_minus6,0.0,dSocdt,6
0,dSocdt_h14_day_minus6,0.0,dSocdt,6
0,dSocdt_h15_day_minus6,0.0,dSocdt,6
0,dSocdt_h16_day_minus6,0.0,dSocdt,6
0,dSocdt_h17_day_minus6,0.0,dSocdt,6
0,dSocdt_h18_day_minus6,0.0,dSocdt,6
0,dSocdt_h19_day_minus6,0.0,dSocdt,6
0,dSocdt_h20_day_minus6,0.0,dSocdt,6
0,dSocdt_h21_day_minus6,0.0,dSocdt,6
0,dSocdt_h22_day_minus6,0.0,dSocdt,6
0,dSocdt_h23_day_minus6,0.0,dSocdt,6
0,Soc_h0_day_minus6,0.0,Soc,6
0,Soc_h1_day_minus6,0.0,Soc,6
0,Soc_h2_day_minus6,0.0,Soc,6
0,Soc_h3_day_minus6,0.0,Soc,6
0,Soc_h4_day_minus6,0.0,Soc,6
0,Soc_h5_day_minus6,0.0,Soc,6
0,Soc_h6_day_minus6,0.0,Soc,6
0,Soc_h7_day_minus6,0.0,Soc,6
0,Soc_h8_day_minus6,0.0,Soc,6
0,Soc_h9_day_minus6,0.0,Soc,6
0,Soc_h10_day_minus6,0.0,Soc,6
0,Soc_h11_day_minus6,0.0,Soc,6
0,Soc_h12_day_minus6,0.0,Soc,6
0,Soc_h13_day_minus6,0.0,Soc,6
0,Soc_h14_day_minus6,0.0,Soc,6
0,Soc_h15_day_minus6,0.0,Soc,6
0,Soc_h16_day_minus6,0.0,Soc,6
0,Soc_h17_day_minus6,0.0,Soc,6
0,Soc_h18_day_minus6,0.0,Soc,6
0,Soc_h19_day_minus6,0.0,Soc,6
0,Soc_h20_day_minus6,0.0,Soc,6
0,Soc_h21_day_minus6,0.0,Soc,6
0,Soc_h22_day_minus6,0.0,Soc,6
0,Soc_h23_day_minus6,0.0,Soc,6
0,dayofweek_day_minus6,0.0,Date,6
0,day_day_minus6,0.0,Date,6
0,month_day_minus6,0.0,Date,6
0,year_day_minus6,0.0,Date,6
0,dSocdt_h0_day_minus5,0.0,dSocdt,5
0,dSocdt_h1_day_minus5,0.0,dSocdt,5
0,dSocdt_h2_day_minus5,0.0,dSocdt,5
0,dSocdt_h3_day_minus5,0.0,dSocdt,5
0,dSocdt_h4_day_minus5,0.0,dSocdt,5
0,dSocdt_h5_day_minus5,0.0,dSocdt,5
0,dSocdt_h6_day_minus5,0.0,dSocdt,5
0,dSocdt_h7_day_minus5,0.0,dSocdt,5
0,dSocdt_h8_day_minus5,0.0,dSocdt,5
0,dSocdt_h9_day_minus5,0.0,dSocdt,5
0,dSocdt_h10_day_minus5,0.0,dSocdt,5
0,dSocdt_h11_day_minus5,0.0,dSocdt,5
0,dSocdt_h12_day_minus5,0.0,dSocdt,5
0,dSocdt_h13_day_minus5,0.0,dSocdt,5
0,dSocdt_h14_day_minus5,0.0,dSocdt,5
0,dSocdt_h15_day_minus5,0.0,dSocdt,5
0,dSocdt_h16_day_minus5,0.0,dSocdt,5
0,dSocdt_h17_day_minus5,0.0,dSocdt,5
0,dSocdt_h18_day_minus5,0.0,dSocdt,5
0,dSocdt_h19_day_minus5,0.0,dSocdt,5
0,dSocdt_h20_day_minus5,0.0,dSocdt,5
0,dSocdt_h21_day_minus5,0.0,dSocdt,5
0,dSocdt_h22_day_minus5,0.0,dSocdt,5
0,dSocdt_h23_day_minus5,0.02920746,dSocdt,5
0,Soc_h0_day_minus5,0.0,Soc,5
0,Soc_h1_day_minus5,0.0,Soc,5
0,Soc_h2_day_minus5,0.0,Soc,5
0,Soc_h3_day_minus5,0.0,Soc,5
0,Soc_h4_day_minus5,0.0,Soc,5
0,Soc_h5_day_minus5,0.0,Soc,5
0,Soc_h6_day_minus5,0.0,Soc,5
0,Soc_h7_day_minus5,0.0,Soc,5
0,Soc_h8_day_minus5,0.0,Soc,5
0,Soc_h9_day_minus5,0.0,Soc,5
0,Soc_h10_day_minus5,0.0,Soc,5
0,Soc_h11_day_minus5,0.0,Soc,5
0,Soc_h12_day_minus5,0.0,Soc,5
0,Soc_h13_day_minus5,0.0,Soc,5
0,Soc_h14_day_minus5,0.0,Soc,5
0,Soc_h15_day_minus5,0.0,Soc,5
0,Soc_h16_day_minus5,0.0,Soc,5
0,Soc_h17_day_minus5,0.0,Soc,5
0,Soc_h18_day_minus5,0.0,Soc,5
0,Soc_h19_day_minus5,0.0,Soc,5
0,Soc_h20_day_minus5,0.0,Soc,5
0,Soc_h21_day_minus5,0.0,Soc,5
0,Soc_h22_day_minus5,0.0,Soc,5
0,Soc_h23_day_minus5,0.0,Soc,5
0,dayofweek_day_minus5,0.0,Date,5
0,day_day_minus5,0.0,Date,5
0,month_day_minus5,0.0,Date,5
0,year_day_minus5,0.0,Date,5
0,dSocdt_h0_day_minus4,0.03055027,dSocdt,4
0,dSocdt_h1_day_minus4,0.0,dSocdt,4
0,dSocdt_h2_day_minus4,0.0,dSocdt,4
0,dSocdt_h3_day_minus4,0.0,dSocdt,4
0,dSocdt_h4_day_minus4,0.0,dSocdt,4
0,dSocdt_h5_day_minus4,0.0,dSocdt,4
