feature,mean_abs_shap,feature_type,days_back
dSocdt_h13_day_minus7,0.00021177257,dSocdt,7
Soc_h17_day_minus4,0.00021136992,Soc,4
dSocdt_h2_day_minus3,0.00019541733,dSocdt,3
dSocdt_h20_day_minus3,0.00019517157,dSocdt,3
dSocdt_h16_day_minus7,0.00018825302,dSocdt,7
dSocdt_h17_day_minus5,0.00018083848,dSocdt,5
Soc_h9_day_minus1,0.00017042216,Soc,1
dSocdt_h8_day_minus6,0.00016389012,dSocdt,6
dSocdt_h10_day_minus4,0.00016160755,dSocdt,4
dSocdt_h12_day_minus7,0.0001614875,dSocdt,7
dSocdt_h10_day_minus3,0.00015839015,dSocdt,3
dSocdt_h10_day_minus7,0.0001512039,dSocdt,7
dSocdt_h19_day_minus7,0.0001355598,dSocdt,7
Soc_h12_day_minus1,0.00012792854,Soc,1
dSocdt_h3_day_minus3,0.00012743247,dSocdt,3
dSocdt_h21_day_minus5,0.00012628784,dSocdt,5
Soc_h22_day_minus3,0.000121848076,Soc,3
Soc_h22_day_minus5,0.00011229689,Soc,5
Soc_h4_day_minus1,0.00010402058,Soc,1
dSocdt_h21_day_minus6,8.8235975e-05,dSocdt,6
Soc_h16_day_minus3,8.7347435e-05,Soc,3
Soc_h23_day_minus3,8.581359e-05,Soc,3
dSocdt_h21_day_minus3,7.593021e-05,dSocdt,3
Soc_h14_day_minus1,7.4667376e-05,Soc,1
dSocdt_h0_day_minus6,6.73571e-05,dSocdt,6
dSocdt_h13_day_minus6,5.707439e-05,dSocdt,6
Soc_h10_day_minus2,4.6328016e-05,Soc,2
dSocdt_h9_day_minus7,3.9518276e-05,dSocdt,7
dSocdt_h20_day_minus5,3.402602e-05,dSocdt,5
dSocdt_h10_day_minus6,2.9342626e-05,dSocdt,6
Soc_h17_day_minus7,2.4881776e-05,Soc,7
Soc_h14_day_minus12,0.0,Soc,12
Soc_h15_day_minus12,0.0,Soc,12
Soc_h16_day_minus12,0.0,Soc,12
Soc_h17_day_minus12,0.0,Soc,12
Soc_h18_day_minus12,0.0,Soc,12
Soc_h19_day_minus12,0.0,Soc,12
Soc_h20_day_minus12,0.0,Soc,12
Soc_h21_day_minus12,0.0,Soc,12
Soc_h22_day_minus12,0.0,Soc,12
Soc_h23_day_minus12,0.0,Soc,12
dayofweek_day_minus12,0.0,Date,12
day_day_minus12,0.0,Date,12
month_day_minus12,0.0,Date,12
year_day_minus12,0.0,Date,12
dSocdt_h0_day_minus11,0.0,dSocdt,11
dSocdt_h1_day_minus11,0.0,dSocdt,11
dSocdt_h2_day_minus11,0.0,dSocdt,11
dSocdt_h3_day_minus11,0.0,dSocdt,11
dSocdt_h4_day_minus11,0.0,dSocdt,11
dSocdt_h5_day_minus11,0.0,dSocdt,11
dSocdt_h6_day_minus11,0.0,dSocdt,11
dSocdt_h7_day_minus11,0.0,dSocdt,11
dSocdt_h8_day_minus11,0.0,dSocdt,11
dSocdt_h9_day_minus11,0.0,dSocdt,11
dSocdt_h10_day_minus11,0.0,dSocdt,11
dSocdt_h11_day_minus11,0.0,dSocdt,11
dSocdt_h12_day_minus11,0.0,dSocdt,11
dSocdt_h13_day_minus11,0.0,dSocdt,11
dSocdt_h14_day_minus11,0.0,dSocdt,11
dSocdt_h15_day_minus11,0.0,dSocdt,11
dSocdt_h16_day_minus11,0.0,dSocdt,11
dSocdt_h17_day_minus11,0.0,dSocdt,11
dSocdt_h18_day_minus11,0.0,dSocdt,11
dSocdt_h19_day_minus11,0.0,dSocdt,11
dSocdt_h20_day_minus11,0.0,dSocdt,11
dSocdt_h21_day_minus11,0.0,dSocdt,11
dSocdt_h22_day_minus11,0.0,dSocdt,11
dSocdt_h23_day_minus11,0.0,dSocdt,11
Soc_h0_day_minus11,0.0,Soc,11
Soc_h1_day_minus11,0.0,Soc,11
Soc_h2_day_minus11,0.0,Soc,11
Soc_h3_day_minus11,0.0,Soc,11
Soc_h4_day_minus11,0.0,Soc,11
Soc_h5_day_minus11,0.0,Soc,11
Soc_h6_day_minus11,0.0,Soc,11
Soc_h7_day_minus11,0.0,Soc,11
Soc_h8_day_minus11,0.0,Soc,11
Soc_h9_day_minus11,0.0,Soc,11
Soc_h10_day_minus11,0.0,Soc,11
Soc_h11_day_minus11,0.0,Soc,11
Soc_h12_day_minus11,0.0,Soc,11
Soc_h13_day_minus11,0.0,Soc,11
Soc_h14_day_minus11,0.0,Soc,11
Soc_h15_day_minus11,0.0,Soc,11
Soc_h16_day_minus11,0.0,Soc,11
Soc_h17_day_minus11,0.0,Soc,11
Soc_h18_day_minus11,0.0,Soc,11
Soc_h19_day_minus11,0.0,Soc,11
Soc_h20_day_minus11,0.0,Soc,11
Soc_h21_day_minus11,0.0,Soc,11
Soc_h22_day_minus11,0.0,Soc,11
Soc_h23_day_minus11,0.0,Soc,11
dayofweek_day_minus11,0.0,Date,11
day_day_minus11,0.0,Date,11
month_day_minus11,0.0,Date,11
year_day_minus11,0.0,Date,11
dSocdt_h0_day_minus10,0.0,dSocdt,10
dSocdt_h1_day_minus10,0.0,dSocdt,10
dSocdt_h2_day_minus10,0.0,dSocdt,10
dSocdt_h3_day_minus10,0.0,dSocdt,10
dSocdt_h4_day_minus10,0.0,dSocdt,10
dSocdt_h5_day_minus10,0.0,dSocdt,10
dSocdt_h6_day_minus10,0.0,dSocdt,10
dSocdt_h7_day_minus10,0.0,dSocdt,10
dSocdt_h8_day_minus10,0.0,dSocdt,10
dSocdt_h9_day_minus10,0.0,dSocdt,10
dSocdt_h10_day_minus10,0.0,dSocdt,10
dSocdt_h11_day_minus10,0.0,dSocdt,10
dSocdt_h12_day_minus10,0.0,dSocdt,10
dSocdt_h13_day_minus10,0.0,dSocdt,10
dSocdt_h14_day_minus10,0.0,dSocdt,10
dSocdt_h15_day_minus10,0.0,dSocdt,10
dSocdt_h16_day_minus10,0.0,dSocdt,10
dSocdt_h17_day_minus10,0.0,dSocdt,10
dSocdt_h18_day_minus10,0.0,dSocdt,10
dSocdt_h19_day_minus10,0.0,dSocdt,10
dSocdt_h20_day_minus10,0.0,dSocdt,10
dSocdt_h21_day_minus10,0.0,dSocdt,10
dSocdt_h22_day_minus10,0.0,dSocdt,10
dSocdt_h23_day_minus10,0.0,dSocdt,10
Soc_h0_day_minus10,0.0,Soc,10
Soc_h1_day_minus10,0.0,Soc,10
Soc_h2_day_minus10,0.0,Soc,10
Soc_h3_day_minus10,0.0,Soc,10
Soc_h4_day_minus10,0.0,Soc,10
Soc_h5_day_minus10,0.0,Soc,10
Soc_h6_day_minus10,0.0,Soc,10
Soc_h7_day_minus10,0.0,Soc,10
Soc_h8_day_minus10,0.0,Soc,10
Soc_h9_day_minus10,0.0,Soc,10
Soc_h10_day_minus10,0.0,Soc,10
Soc_h11_day_minus10,0.0,Soc,10
Soc_h12_day_minus10,0.0,Soc,10
Soc_h13_day_minus10,0.0,Soc,10
Soc_h14_day_minus10,0.0,Soc,10
Soc_h15_day_minus10,0.0,Soc,10
Soc_h16_day_minus10,0.0,Soc,10
Soc_h17_day_minus10,0.0,Soc,10
Soc_h18_day_minus10,0.0,Soc,10
Soc_h19_day_minus10,0.0,Soc,10
Soc_h20_day_minus10,0.0,Soc,10
Soc_h21_day_minus10,0.0,Soc,10
Soc_h22_day_minus10,0.0,Soc,10
Soc_h23_day_minus10,0.0,Soc,10
dayofweek_day_minus10,0.0,Date,10
day_day_minus10,0.0,Date,10
month_day_minus10,0.0,Date,10
year_day_minus10,0.0,Date,10
dSocdt_h0_day_minus9,0.0,dSocdt,9
dSocdt_h1_day_minus9,0.0,dSocdt,9
