hour,tree_index,node_id,depth,feature,feature_index,threshold,feature_type,days_back
0,23,2,1,dSocdt_h23_day_minus3,595,-11.9990997,dSocdt,3
0,24,0,0,dSocdt_h20_day_minus2,644,-5.90240002,dSocdt,2
0,24,1,1,Soc_h19_day_minus1,719,13.0257998,Soc,1
0,24,2,1,dSocdt_h22_day_minus2,646,-9.81770039,dSocdt,2
1,0,0,0,dSocdt_h3_day_minus1,679,-0.747600019,dSocdt,1
1,0,1,1,Soc_h15_day_minus1,715,4.32620001,Soc,1
1,0,2,1,dSocdt_h15_day_minus1,691,-0.275200009,dSocdt,1
1,1,0,0,dSocdt_h4_day_minus1,680,-0.362500012,dSocdt,1
1,1,1,1,dSocdt_h0_day_minus1,676,-7.63450003,dSocdt,1
1,1,2,1,dSocdt_h23_day_minus1,699,-0.820900023,dSocdt,1
1,2,0,0,dSocdt_h6_day_minus1,682,-0.717700005,dSocdt,1
1,2,1,1,Soc_h16_day_minus1,716,4.10680008,Soc,1
1,2,2,1,dSocdt_h11_day_minus1,687,-0.275200009,dSocdt,1
1,3,0,0,dSocdt_h3_day_minus1,679,-0.9278,dSocdt,1
1,3,1,1,Soc_h9_day_minus2,657,42.5285988,Soc,2
1,3,2,1,dSocdt_h15_day_minus1,691,-0.275200009,dSocdt,1
1,4,0,0,dSocdt_h4_day_minus1,680,-0.719200015,dSocdt,1
1,4,1,1,Soc_h15_day_minus1,715,4.32620001,Soc,1
1,4,2,1,dSocdt_h14_day_minus1,690,-0.275200009,dSocdt,1
1,5,0,0,dSocdt_h3_day_minus1,679,-0.9278,dSocdt,1
1,5,1,1,Soc_h9_day_minus2,657,42.5285988,Soc,2
1,5,2,1,dSocdt_h15_day_minus1,691,-0.275200009,dSocdt,1
1,6,0,0,dSocdt_h0_day_minus1,676,-2.93930006,dSocdt,1
1,6,1,1,dSocdt_h5_day_minus1,681,-2.10109997,dSocdt,1
1,6,2,1,dSocdt_h11_day_minus1,687,-6.8362999,dSocdt,1
1,7,0,0,dSocdt_h3_day_minus1,679,-0.9278,dSocdt,1
1,7,1,1,Soc_h23_day_minus1,723,30.2779007,Soc,1
1,7,2,1,dSocdt_h20_day_minus1,696,-1.58809996,dSocdt,1
1,8,0,0,dSocdt_h3_day_minus1,679,-0.747600019,dSocdt,1
1,8,1,1,Soc_h15_day_minus1,715,4.32620001,Soc,1
1,8,2,1,dSocdt_h5_day_minus1,681,-3.63429999,dSocdt,1
1,9,0,0,dSocdt_h4_day_minus2,628,-0.719200015,dSocdt,2
1,9,1,1,dSocdt_h19_day_minus1,695,-8.3362999,dSocdt,1
1,9,2,1,dSocdt_h18_day_minus1,694,-0.724799991,dSocdt,1
1,10,0,0,dSocdt_h0_day_minus1,676,-2.93930006,dSocdt,1
1,10,1,1,dSocdt_h5_day_minus1,681,-2.10109997,dSocdt,1
1,10,2,1,dSocdt_h23_day_minus1,699,-1.22109997,dSocdt,1
1,11,0,0,dSocdt_h3_day_minus1,679,-0.9278,dSocdt,1
1,11,1,1,Soc_h16_day_minus1,716,16.9365005,Soc,1
1,11,2,1,dSocdt_h23_day_minus1,699,-0.820900023,dSocdt,1
1,12,0,0,dSocdt_h3_day_minus1,679,-0.9278,dSocdt,1
1,12,1,1,Soc_h14_day_minus1,714,9.9034996,Soc,1
1,12,2,1,dSocdt_h15_day_minus1,691,-0.275200009,dSocdt,1
1,13,0,0,dSocdt_h0_day_minus1,676,-2.93930006,dSocdt,1
1,13,1,1,dSocdt_h5_day_minus1,681,-2.10109997,dSocdt,1
